ord_number,origin_cmp_id,origin_cmp_name,dest_cmp_id,dest_cmp_name,orderby_cmp_id,orderby_cmp_name,orderby_cty_nmstct,billto_cmp_id,billto_cmp_name,billto_cty_nmstct,ord_status,ord_startdate,ord_completiondate,ord_originstate,ord_deststate,ord_revtype1,orderheader_ord_revtype1_t,ord_revtype2,orderheader_ord_revtype2_t,ord_revtype3,orderheader_ord_revtype3_t,ord_revtype4,orderheader_ord_revtype4_t,mov_number,ord_charge,ord_totalcharge,ord_accessorial_chrg,ord_priority,ord_originregion1,ord_destregion1,ord_reftype,ord_refnum,ord_status,ord_invoicestatus,origin_cty_nmstct,dest_cyt_nmstct,cmd_code,ord_description,ord_remark,ord_hdrnumber,ord_trailer,ord_bookdate,ord_bookedby,ord_booked_revtype1,ord_entryport,ord_exitport,ord_driver1,ord_tractor,ord_odmetermiles,ord_route,ord_route_effc_date,ord_route_exp_date,origin_cmp_primaryphone,dest_cmp_primaryphone,billto_cmp_primaryphone,ord_totalmiles,ord_carrier,ord_trailer2,ord_chassis,ord_chassis2,origin_earliest,origin_latest,dest_earliest,dest_latest,lgh_204status,lgh_204date,ord_broker,shipper_radius,consignee_radius,carrier_pay,paydetail_lgh,paydetail_acc,paydetail_fuel,paydetail_tot
1334377,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/04/2024 1:31,01/04/2024 9:38,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1380432,16500,16500,0,3,QR,MX,BL#,6500386518,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131801,47131801-Limpiadores de pisos,,1334377,53747,1/2/2024 09:30:01:55,MACL,OCC,UNKNOWN,UNKNOWN,IBAANY,1793,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/04/2024 13:19,01/04/2024 13:19,01/04/2024 19:26,01/04/2024 19:26,,,UNKNOWN,,,,0,0,0,0
1334380,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/04/2024 1:31,01/04/2024 1:32,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1380435,16500,16500,0,3,QR,MX,BL#,6500386654,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131810,47131810-Productos para el lavaplatos,,1334380,53913,1/2/2024 09:30:01:55,MACL,OCC,UNKNOWN,UNKNOWN,GALANG,1789,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/04/2024 13:19,01/04/2024 13:19,01/04/2024 19:26,01/04/2024 19:26,,,UNKNOWN,,,,0,0,0,0
1334773,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/05/2024 1:31,01/05/2024 9:38,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1380841,16500,16500,0,3,QR,MX,BL#,6500386846,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131810,47131810-Productos para el lavaplatos,,1334773,53747,1/3/2024 14:37:54:953,MACL,OCC,UNKNOWN,UNKNOWN,IBAANY,1793,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/05/2024 13:19,01/05/2024 13:19,01/05/2024 19:26,01/05/2024 19:26,,,UNKNOWN,,,,0,0,0,0
1334774,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/05/2024 1:31,01/05/2024 1:32,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1380842,16500,16500,0,3,QR,MX,BL#,6500386855,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131810,47131810-Productos para el lavaplatos,,1334774,53913,1/3/2024 14:37:54:953,MACL,OCC,UNKNOWN,UNKNOWN,GALANG,1789,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/05/2024 13:19,01/05/2024 13:19,01/05/2024 19:26,01/05/2024 19:26,,,UNKNOWN,,,,0,0,0,0
1334776,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/04/2024 1:31,01/04/2024 1:32,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1380844,16500,16500,0,3,QR,MX,BL#,6500386719,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131811,47131811-Productos de lavandería,,1334776,53796,1/3/2024 14:37:54:97,MACL,OCC,UNKNOWN,UNKNOWN,SUAABE,1792,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/04/2024 13:19,01/04/2024 15:19,01/04/2024 19:26,01/04/2024 21:26,,,UNKNOWN,,,,0,0,0,0
1334777,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/04/2024 1:31,01/04/2024 1:32,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1380845,16500,16500,0,3,QR,MX,BL#,6500386832,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131811,47131811-Productos de lavandería,,1334777,54049,1/3/2024 14:37:54:97,MACL,OCC,UNKNOWN,UNKNOWN,BARMIGX,1782,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/04/2024 13:19,01/04/2024 15:19,01/04/2024 19:26,01/04/2024 21:26,,,UNKNOWN,,,,0,0,0,0
1334842,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/05/2024 1:31,01/05/2024 1:32,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1380911,16500,16500,0,3,QR,MX,BL#,6500386837,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131801,47131801-Limpiadores de pisos,,1334842,54043,1/3/2024 17:15:28:44,MACL,OCC,UNKNOWN,UNKNOWN,CAMARM,1764,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/05/2024 13:19,01/05/2024 15:19,01/05/2024 19:26,01/05/2024 21:26,,,UNKNOWN,,,,0,0,0,0
1335124,COLITU,COLGATE ITURBIDE,ALPGSTEN,SERVICIO COMERCIAL GARIS SA DE CV,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/05/2024 7:00,01/06/2024 9:00,GJ,EM,QRO,RevType1,QRO,RevType2,COLSJI,RevType3,EC4,RevType4,1381189,27000,27000,0,3,QR,MX,BL#,7001424132,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TENANGO DEL VALLE,EM",47131801,47131801-Limpiadores de pisos,78101800,1335124,53960,1/4/2024 09:48:07:737,MACL,QRO,UNKNOWN,UNKNOWN,SUAABE,1792,307,,,,,,,307,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/05/2024 10:54,01/05/2024 12:54,01/06/2024 15:32,01/06/2024 15:32,,,UNKNOWN,,,,0,0,0,0
1335184,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/05/2024 1:31,01/05/2024 9:38,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1381250,16500,16500,0,3,QR,MX,BL#,6500387171,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131810,47131810-Productos para el lavaplatos,,1335184,53711,1/4/2024 17:01:49:423,MACL,OCC,UNKNOWN,UNKNOWN,DEJJOR,1929,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/05/2024 13:19,01/05/2024 13:19,01/05/2024 19:26,01/05/2024 19:26,,,UNKNOWN,,,,0,0,0,0
1331123,COLITU,COLGATE ITURBIDE,CEDTUL06,CEDIS COLGATE TULTITLAN,COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",COLGATEP,COLGATE PALMOLIVE S.A. DE C.V.,"SAN JOSE ITURBIDE,GJ",CMP,01/06/2024 1:31,01/06/2024 9:38,GJ,EM,OCC,RevType1,QRO,RevType2,COLDED,RevType3,EC4,RevType4,1377160,16500,16500,0,3,QR,MX,BL#,6500386864,CMP,PPD,"SAN JOSE ITURBIDE,GJ","TULTITLAN,EM",47131810,47131810-Productos para el lavaplatos,,1331123,53711,12/20/2023 11:37:49:267,MACL,OCC,UNKNOWN,UNKNOWN,DEJJOR,1929,238,,,,,,,238,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,01/06/2024 13:19,01/06/2024 13:19,01/06/2024 19:26,01/06/2024 19:26,,,UNKNOWN,,,,0,0,0,0
